client_id,split,idx,gold,pred,correct,score_correct,p_A,p_B,p_C,p_D,z_A,z_B,z_C,z_D,entropy,margin,max_prob,energy,category,subject,topic,has_image,dscp_bin
0,validation,0,C,C,1,0.0006285309791564941,6.601498898817226e-05,7.480478234356269e-05,0.9993714690208435,0.0004877884639427066,22.875,23.0,32.5,24.875,0.00569415558129549,0.9988836646080017,0.9993714690208435,-32.50062942504883,Oceans and continents,social science,geography,True,0
0,validation,1,A,A,1,0.3287750482559204,0.6712249517440796,0.0021363620180636644,0.009574509225785732,0.31706419587135315,27.875,22.125,23.625,27.125,0.6894248723983765,0.35416075587272644,0.6712249517440796,-28.273651123046875,Basic economic principles,social science,economics,True,0
0,validation,2,B,A,0,0.8873396217823029,0.6483157277107239,0.11266037821769714,0.0005217210855334997,0.23850204050540924,27.875,26.125,20.75,26.875,0.87275230884552,0.40981370210647583,0.6483157277107239,-28.308378219604492,Basic economic principles,social science,economics,True,0
0,validation,3,A,A,1,0.0003180503845214844,0.9996819496154785,0.00015841092681512237,7.48280217521824e-05,8.479125972371548e-05,32.75,24.0,23.25,23.375,0.0032099809031933546,0.9995235204696655,0.9996819496154785,-32.75031661987305,Phrases and clauses,language science,grammar,False,0
0,validation,4,C,A,0,0.9890364892780781,0.9869037866592407,0.001905172481201589,0.01096351072192192,0.00022754039673600346,30.75,24.5,26.25,22.375,0.07633150368928909,0.9759402871131897,0.9869037866592407,-30.76318359375,Basic economic principles,social science,economics,True,0
0,validation,5,C,C,1,0.0011221766471862793,0.0004302591842133552,6.598237814614549e-05,0.9988778233528137,0.000626023393124342,25.0,23.125,32.75,25.375,0.009709319099783897,0.9982517957687378,0.9988778233528137,-32.751121520996094,Basic economic principles,social science,economics,True,0
0,validation,6,C,C,1,0.0040743350982666016,0.00010846503573702648,0.0014973136130720377,0.9959256649017334,0.0024686530232429504,22.625,25.25,31.75,25.75,0.029616858810186386,0.993457019329071,0.9959256649017334,-31.75408363342285,Units and measurement,natural science,units-and-measurement,False,0
0,validation,7,C,B,0,0.9059014618396759,0.0003845592145808041,0.8927820920944214,0.0940985381603241,0.0127348517999053,21.875,29.625,27.375,25.375,0.38223791122436523,0.7986835241317749,0.8927820920944214,-29.738412857055664,Basic economic principles,social science,economics,True,0
0,validation,8,D,D,1,0.009319484233856201,0.005198614206165075,0.0005479298997670412,0.003572952002286911,0.9906805157661438,25.0,22.75,24.625,30.25,0.06086323410272598,0.9854819178581238,0.9906805157661438,-30.259363174438477,Phrases and clauses,language science,grammar,False,0
0,validation,9,A,B,0,0.9875837462022901,0.012416253797709942,0.9863451719284058,8.366005931748077e-05,0.0011548914480954409,26.25,30.625,21.25,23.875,0.07664985209703445,0.9739289283752441,0.9863451719284058,-30.638748168945312,Basic economic principles,social science,economics,True,0
0,validation,10,C,C,1,0.0005735158920288086,5.826123015140183e-05,8.476959192194045e-05,0.9994264841079712,0.00043049550731666386,22.75,23.125,32.5,24.75,0.005272782873362303,0.9989959597587585,0.9994264841079712,-32.500572204589844,Oceans and continents,social science,geography,True,0
